class,name,runs,misses
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@646fbc5d,0,0
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@4c982e2a,0,0
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@1c325f5a,0,0
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@1d006ccf,0,0
